UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
218520008,Piedmont Technical College,399200,Center for Advance Manufacturing,109 Innovation Drive,Laurens,SC,29360,4,"Public, 2-year",1664.0,3651.0,5315.0,,,,,,,,,,1,1,1,"109 Innovation Drive, Laurens, SC 29360",34.5582235,-82.0060933
218539001,Presbyterian College,344500,Presbyterian College,503 South BROAD ST,CLINTON,SC,29325,2,"Private nonprofit, 4-year or above",510.0,689.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"503 South BROAD ST, CLINTON, SC 29325",34.46469875,-81.87052752510007
218645001,University of South Carolina Aiken,344900,University of South Carolina-Aiken,471 UNIVERSITY PKY,AIKEN,SC,29801,1,"Public, 4-year or above",1379.0,2461.0,3840.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"471 UNIVERSITY PKY, AIKEN, SC 29801",33.5740699,-81.7676633
218654001,University of South Carolina Beaufort,345000,Bluffton Campus,#1 University Blvd.,Bluffton,SC,29909,1,"Public, 4-year or above",672.0,1452.0,2124.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1,1,1,"#1 University Blvd., Bluffton, SC 29909",32.303249699999995,-80.97362876623299
218654002,University of South Carolina Beaufort,345000,Beaufort Campus,801 Carteret St,Beaufort,SC,29902,1,"Public, 4-year or above",672.0,1452.0,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"801 Carteret St, Beaufort, SC 29902",32.436154,-80.669753
218663001,University of South Carolina-Columbia,344800,Main Campus,Osborne Building,COLUMBIA,SC,29208,1,"Public, 4-year or above",15070.0,20583.0,35653.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,"Osborne Building, COLUMBIA, SC 29208",33.99933755,-81.02757755026573
218706001,University of South Carolina-Union,492700,USC Union Regional  Campus,309 East Academy st.,UNION,SC,29379,4,"Public, 2-year",497.0,601.0,1098.0,,,,,,,,,,1,1,1,"309 East Academy st., UNION, SC 29379",34.71786385,-81.62106047231464
218742003,University of South Carolina-Upstate,695100,George Dean Johnson School of Business and Economics,160 East St. John Street,Spartanburg,SC,29306,1,"Public, 4-year or above",1557.0,3356.0,4913.0,,,,,,,,,,1,1,1,"160 East St. John Street, Spartanburg, SC 29306",34.9525837,-81.93070479194833
218830001,Spartanburg Community College,399400,Central Campus,107 Community College Drive,SPARTANBURG,SC,29303,4,"Public, 2-year",2412.0,3812.0,6224.0,,,,,,,,,,1,1,1,"107 Community College Drive, SPARTANBURG, SC 29303",34.975245349999994,-81.98855992648515
218830002,Spartanburg Community College,399400,Tyger River Campus,1875 East Main Street,Duncan,SC,29334,4,"Public, 2-year",2412.0,3812.0,6224.0,,,,,,,,,,1,1,1,"1875 East Main Street, Duncan, SC 29334",34.894555,-82.0803651
